New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex,Retired
0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,0,Colorless Blender,ffffff
120,Black,120,Black,120,Black,120,Black,000000
B010,Blue Lagoon,,,B389,Fresh Blue,B389,Fresh Blue,5bc4d8
B015,Celadon Blue,B090,Pebble Blue,,,,,2580a7
B02,Light Minty Blue,BG4,Mint Blue,,,,,bee5e8
B03,Frost,B030,Frost Blue,B996,Frost Blue,,,bedbe5
B04,Pale Cyan,B040,Baby Blue,,,,,b3dbe5
B05,Robin Egg Blue,B050,Robin's Egg Blue,,,,,a6d9e7
B06,Light Cerulean,B110,Crystal Blue,,,,,86d4e7
B07,Light Blue,,,B292,Light Sky Blue,,,8dd6e9
B08,Cotton Candy Blue,PB7,Pastel Blue,B289,Pastel Blue,B289,Pastel Blue,82dcfa
B09,Tahitian Blue,B070,Tahitian Blue,,,,,56bdd7
B111,Pool Blue,PB8,Cerulean Blue,B883,Cerulean Blue,B883,Cerulean Blue,07a5d7
B112,Process Blue,B080,Process Blue,B683,Process Blue,,,259ac6
B114,Cerulean Blue,B64,Indian Blue,B860,Indian Blue,B860,Indian Blue,2d6e9c
B115,Classic Blue,PB6,Royal Blue,B956,Sapphire,B956,Sapphire,005297
B21,Porcelain Blue,MG020,Blue Grey 02,,,,,e2eff4
B27,Fog Blue,MG030,Blue Grey 03,MG030,Blue Grey 030,,,bcd1e0
B28,Smoke Blue,B250,Light Blue,B190,Light Blue,,,a4cce1
B310,Blue Dusk,BGⅡ03,Blue Grey II 3,MG031,Blue Grey 031,MG031,Blue Grey 031,a6c1cc
B311,Stone Blue,MG060,Blue Grey 06,MG060,Blue Grey 060,,,8fafc0
B315,Deep Cerulean,PB11,Marine Blue,B459,Marine Blue,B459,Marine Blue,457393
B411,Rich Slate Blue,BGⅡ05,Blue Grey II 5,MG069,Blue Grey 069,MG069,Blue Grey 069,7897a7
B412,Gunmetal Blue,MG100,Blue Grey 09,,,,,668492
B415,Stormy Night,BGⅡ09,Blue Grey II 9,MG170,Blue Grey 170,MG170,Blue Grey 170,53606c
BG010,Peacock Blue,,,G482,Ice Blue,G482,Ice Blue,37bebd
BG011,Teal,G500,Peacock Blue,,,,,1db7b7
BG04,Sea Spray,G322,Pale Aqua Mint,,,,,b1dee2
BG05,Light Sea Blue,BG68,Turquoise Blue,G191,Turquoise Blue,G191,Turquoise Blue,9dd9dc
